epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.307,1.57824,2.60409,1.52707,0.59168,0.48226,0.52846,0.3382,1.30793,1.50893,1.28764,0.000138732,0.000138732,0.000138732
2,198.282,1.2704,1.79675,1.34235,0.63431,0.52091,0.57642,0.37508,1.21801,1.33757,1.23696,0.000263984,0.000263984,0.000263984
3,271.999,1.2181,1.66105,1.2996,0.65838,0.544,0.60216,0.39839,1.21363,1.28183,1.2256,0.000375475,0.000375475,0.000375475
4,339.634,1.19932,1.60668,1.285,0.66641,0.5643,0.62132,0.41332,1.18311,1.23519,1.20077,0.000355076,0.000355076,0.000355076
5,409.918,1.17106,1.53018,1.26912,0.66529,0.5801,0.63214,0.42657,1.14898,1.1991,1.18141,0.000334434,0.000334434,0.000334434
6,486.679,1.14019,1.47867,1.24931,0.68302,0.59674,0.65787,0.44815,1.12829,1.15786,1.1703,0.000313792,0.000313792,0.000313792
7,562.98,1.1262,1.42593,1.24116,0.69618,0.60634,0.66927,0.4618,1.10771,1.11228,1.15893,0.000293151,0.000293151,0.000293151
8,634.66,1.1141,1.39602,1.23102,0.7063,0.62014,0.68873,0.47743,1.08617,1.08124,1.13722,0.000272509,0.000272509,0.000272509
9,698.326,1.09371,1.34882,1.21891,0.73321,0.62456,0.6984,0.4854,1.09249,1.06317,1.14201,0.000251868,0.000251868,0.000251868
10,764.074,1.08672,1.33079,1.21298,0.72857,0.61994,0.69774,0.48817,1.07208,1.02945,1.12778,0.000231226,0.000231226,0.000231226
11,824.882,1.00208,1.07265,1.14013,0.72343,0.64944,0.71624,0.50933,1.05335,0.99275,1.11919,0.000210585,0.000210585,0.000210585
12,888.949,0.98462,1.03041,1.13271,0.74894,0.65506,0.72873,0.51955,1.03278,0.96665,1.10833,0.000189943,0.000189943,0.000189943
13,948.512,0.96396,0.99284,1.11876,0.75565,0.66255,0.73595,0.52508,1.02927,0.95806,1.10043,0.000169302,0.000169302,0.000169302
14,1007.06,0.95567,0.9596,1.11411,0.77257,0.6502,0.73952,0.53311,1.01607,0.94053,1.09856,0.00014866,0.00014866,0.00014866
15,1063.33,0.94051,0.9315,1.10628,0.77588,0.67466,0.74964,0.53731,1.0127,0.92327,1.09179,0.000128019,0.000128019,0.000128019
16,1122.42,0.92073,0.90164,1.09324,0.77043,0.67239,0.7558,0.54605,1.01084,0.90813,1.08994,0.000107378,0.000107378,0.000107378
17,1180.4,0.91195,0.88193,1.08611,0.78064,0.67371,0.75766,0.54942,0.99483,0.89171,1.08116,8.6736e-05,8.6736e-05,8.6736e-05
18,1248.63,0.89566,0.85136,1.07985,0.77828,0.68968,0.76258,0.55518,0.99251,0.88385,1.07734,6.60945e-05,6.60945e-05,6.60945e-05
19,1309.62,0.88699,0.82841,1.0731,0.79495,0.67597,0.76454,0.55819,0.98696,0.87672,1.07742,4.5453e-05,4.5453e-05,4.5453e-05
20,1400.55,0.87307,0.81003,1.0655,0.79579,0.68265,0.7682,0.5599,0.98861,0.86874,1.07696,2.48115e-05,2.48115e-05,2.48115e-05
