epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4765,1.2336,1.79135,1.51446,0.73911,0.44828,0.58217,0.36546,1.16042,5.41626,2.20144,0.000654088,0.000654088,0.000654088
2,37.8995,1.15103,1.30856,1.39924,0.12621,0.31034,0.08745,0.04624,1.44446,13.5246,2.42843,0.00127717,0.00127717,0.00127717
3,51.038,1.12005,1.17917,1.38256,0.5603,0.55172,0.53794,0.29542,1.61021,4.61696,2.97774,0.00185625,0.00185625,0.00185625
4,64.0048,1.10768,1.13832,1.36776,0.13217,0.27586,0.11985,0.07059,1.82778,13.6741,2.64117,0.001802,0.001802,0.001802
5,76.6043,1.0757,1.05085,1.34623,0.41352,0.72414,0.49375,0.26628,1.54473,4.91049,2.47666,0.001736,0.001736,0.001736
6,88.8613,0.98784,0.96649,1.28365,0.63657,0.54384,0.59008,0.31838,1.58877,2.03256,2.22635,0.00167,0.00167,0.00167
7,101.752,0.9452,0.8937,1.25483,0.78013,0.73434,0.79417,0.41653,1.55938,3.26501,2.49007,0.001604,0.001604,0.001604
8,114.207,0.89025,0.83821,1.22256,0.66463,0.86207,0.79496,0.42479,1.39491,1.94819,2.1108,0.001538,0.001538,0.001538
9,126.38,0.86572,0.7958,1.19027,0.79697,0.86207,0.85781,0.54568,1.42574,1.67675,2.37877,0.001472,0.001472,0.001472
10,138.197,0.81452,0.736,1.16627,0.89682,0.89925,0.89481,0.58956,1.22111,1.2115,2.1968,0.001406,0.001406,0.001406
11,149.987,0.75722,0.68202,1.13249,0.90088,0.86207,0.90689,0.59002,1.2528,1.38925,2.44267,0.00134,0.00134,0.00134
12,161.583,0.72409,0.64403,1.10993,0.58512,0.65517,0.67712,0.4593,1.21,2.06602,2.04089,0.001274,0.001274,0.001274
13,173.307,0.69567,0.62406,1.10192,0.75634,0.86207,0.88249,0.60103,1.17605,1.37301,2.18514,0.001208,0.001208,0.001208
14,185.414,0.66803,0.59746,1.07606,0.6851,0.75042,0.77474,0.53833,1.22184,3.41063,2.21449,0.001142,0.001142,0.001142
15,197.231,0.63993,0.56299,1.06558,0.77761,0.8443,0.77498,0.52366,1.19307,1.79555,2.11947,0.001076,0.001076,0.001076
16,208.968,0.61357,0.54885,1.0571,0.78917,0.86207,0.82527,0.55905,1.20839,1.22375,2.09234,0.00101,0.00101,0.00101
17,220.847,0.58977,0.50941,1.03514,0.66085,0.82759,0.7207,0.47377,1.31806,1.62846,2.39357,0.000944,0.000944,0.000944
18,232.898,0.57262,0.50975,1.02825,0.81158,0.89655,0.86211,0.58605,1.19064,1.25077,2.32076,0.000878,0.000878,0.000878
19,244.765,0.55025,0.48949,1.01332,0.77037,0.89655,0.86178,0.56283,1.27938,1.73646,2.49659,0.000812,0.000812,0.000812
20,256.619,0.52387,0.46592,1.00589,0.70768,0.83496,0.75037,0.50189,1.15529,1.11758,2.04173,0.000746,0.000746,0.000746
21,275.193,0.44082,0.39753,0.96286,0.80857,0.86207,0.8668,0.56485,1.34765,1.06869,2.7527,0.00068,0.00068,0.00068
22,285.483,0.40787,0.3423,0.93965,0.8376,0.89655,0.89061,0.58044,1.2564,1.1008,2.53276,0.000614,0.000614,0.000614
23,295.618,0.37924,0.31227,0.9184,0.77636,0.86207,0.81314,0.54531,1.19134,1.26665,2.4951,0.000548,0.000548,0.000548
24,306.013,0.35432,0.29397,0.90719,0.80282,0.93103,0.80923,0.51377,1.2844,1.20318,2.8049,0.000482,0.000482,0.000482
25,316.183,0.32943,0.27435,0.88877,0.76459,0.89655,0.87842,0.58512,1.29748,1.1929,2.85182,0.000416,0.000416,0.000416
26,326.499,0.31602,0.26466,0.88331,0.72649,0.93103,0.82578,0.53182,1.32106,1.32199,3.04587,0.00035,0.00035,0.00035
27,336.716,0.29224,0.24583,0.88382,0.71226,0.89655,0.82872,0.56958,1.20861,1.32454,2.77882,0.000284,0.000284,0.000284
28,347.076,0.27379,0.23266,0.87444,0.71763,0.93103,0.76898,0.51806,1.30795,1.28739,2.98937,0.000218,0.000218,0.000218
29,358.121,0.25896,0.22532,0.86247,0.71846,0.93103,0.79382,0.53039,1.24881,1.32441,2.92133,0.000152,0.000152,0.000152
30,369.184,0.24858,0.21968,0.85951,0.70524,0.93103,0.8214,0.5495,1.28664,1.38073,3.06758,8.6e-05,8.6e-05,8.6e-05
